numero_processo
0000032-37.2001.4.01.3902
0000045-27.1982.4.01.3700
0000074-41.2013.4.01.3102
0000147-50.2004.4.01.4000
0000164-57.2002.4.01.4000
0000178-53.1983.4.01.3500
0000194-53.2006.4.01.4000
0000210-50.2014.4.01.3507
0000251-49.2007.4.01.3802
0000257-08.2005.4.01.3000
0000274-51.2013.4.01.3101
0000316-85.1986.4.01.3800
0000323-15.2006.4.01.3400
0000389-77.2002.4.01.4000
0000394-26.2007.4.01.4000
0000492-40.2008.4.01.3300
0000531-32.1984.4.01.3800
0000548-86.2011.4.01.3100
0000563-57.2013.4.01.3303
0000627-92.2008.4.01.3901
0000675-76.1983.4.01.3400
0000679-41.1997.4.01.4300
0000698-86.2005.4.01.3000
0000725-06.2004.4.01.3000
0000742-28.1999.4.01.3902
0000751-75.2008.4.01.3901
0000764-48.2015.4.01.3507
0000807-50.1990.4.01.3801
0000826-17.2008.4.01.3901
0000855-56.1983.4.01.3800
0000904-58.2001.4.01.3900
0000941-14.2003.4.01.3901
0000979-21.2006.4.01.3901
0001089-60.2000.4.01.3600
0001216-78.2013.4.01.3814
0001245-43.2013.4.01.4101
0001248-75.1987.4.01.3400
0001275-22.2014.4.01.3300
0001298-27.2012.4.01.3400
0001303-26.1987.4.01.3400
0001347-44.2007.4.01.3400
0001355-08.1999.4.01.3301
0001384-17.2007.4.01.4000
0001435-72.2013.4.01.3400
0001494-54.2009.4.01.3900
0001503-60.2002.4.01.3900
0001527-06.2007.4.01.4000
0001543-92.1999.4.01.3400
0001574-97.2009.4.01.3809
0001591-85.2008.4.01.3901
0001607-57.1985.4.01.3800
0001655-18.2015.4.01.4300
0001677-23.2008.4.01.4300
0001699-32.2004.4.01.4200
0001700-70.2011.4.01.4200
0001716-52.2019.4.01.4100
0001783-14.2009.4.01.3600
0001899-90.2008.4.01.3200
0001911-07.2008.4.01.3200
0001911-84.2006.4.01.3100
0001933-30.2002.4.01.3700
0001955-72.1989.4.01.3400
0001959-59.2005.4.01.3300
0001989-98.2009.4.01.3900
0002004-48.2015.4.01.3903
0002091-14.2013.4.01.3308
0002138-85.2013.4.01.3502
0002206-21.2012.4.01.4100
0002239-39.2014.4.01.3001
0002315-51.2006.4.01.3807
0002345-13.2016.4.01.4300
0002385-93.2008.4.01.3000
0002388-85.2004.4.01.4100
0002390-97.2008.4.01.3200
0002398-55.2001.4.01.3900
0002455-90.1993.4.01.3500
0002481-51.2013.4.01.3900
0002531-78.2016.4.01.3704
0002582-75.2009.4.01.3400
0002616-50.2009.4.01.3400
0002674-92.2006.4.01.4100
0002708-79.2010.4.01.3501
0002778-60.2015.4.01.4200
0002806-17.2017.4.01.3502
0002866-81.2013.4.01.4002
0002907-90.1999.4.01.3500
0002965-63.1989.4.01.3300
0003010-06.2017.4.01.3100
0003015-66.2016.4.01.4101
0003054-57.2001.4.01.3400
0003115-77.2009.4.01.4000
0003117-37.2014.4.01.3300
0003186-58.2013.4.01.3800
0003342-30.1996.4.01.3901
0003352-20.1999.4.01.3400
0003413-92.2011.4.01.4002
0003453-30.2012.4.01.3100
0003531-16.2007.4.01.4000
0003646-89.2011.4.01.3905
0003741-91.1998.4.01.3900
0003745-42.1999.4.01.3400
0003912-24.2007.4.01.4000
0003928-71.2004.4.01.4100
0003989-14.2012.4.01.3400
0004044-96.2016.4.01.3311
0004129-23.2013.4.01.3300
0004189-22.1992.4.01.3400
0004224-35.1999.4.01.3400
0004316-96.2017.4.01.4300
0004353-15.2001.4.01.4000
0004363-05.2013.4.01.3300
0004372-30.1987.4.01.3800
0004430-24.2001.4.01.4000
0004457-22.2006.4.01.4100
0004694-41.2001.4.01.4000
0004853-33.2004.4.01.3400
0004874-60.2010.4.01.3800
0004975-74.2017.4.01.3502
0005023-20.2009.4.01.3500
0005045-14.2001.4.01.4000
0005163-48.2005.4.01.4000
0005237-97.2008.4.01.4000
0005252-08.2004.4.01.4000
0005303-93.1992.4.01.3400
0005360-94.2014.4.01.3900
0005363-46.2004.4.01.3400
0005417-50.2007.4.01.4000
0005482-36.2006.4.01.3400
0005552-36.2009.4.01.3307
0005588-07.2007.4.01.4000
0005599-38.2009.4.01.4300
0005632-34.2012.4.01.3100
0005668-58.2017.4.01.3308
0005827-48.2014.4.01.3100
0005844-26.1997.4.01.3700
0005863-82.2009.4.01.4000
0005903-80.2012.4.01.3605
0005982-98.2017.4.01.3600
0006043-15.2019.4.01.3300
0006055-93.2001.4.01.4000
0006235-46.1999.4.01.3300
0006297-69.2007.4.01.3700
0006373-66.2007.4.01.4000
0006446-53.2012.4.01.4100
0006452-70.2015.4.01.3901
0006456-89.2005.4.01.3600
0006471-20.2003.4.01.3700
0006598-16.2007.4.01.3700
0006674-23.2001.4.01.4000
